company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
The Spearhead Group,2018-01-01,https://thespearheadgroup.com,"Yardley, Pennsylvania, United States","Administrative Services, Design, Manufacturing","Manufacturing, Packaging Services, Product Design",547990.0,The Spearhead Group has set out to revolutionise the industry and redefine how packaging and brand work together to deliver a more memorable buyer experience. They have redefined the product development and manufacturing process to deliver scalable solutions that effectively help manage all aspects of the production network and handle all aspects of the physical brand enhancement process.,5001-10000,,,,,,,1.0,5001-10000,Private,,,,,,6,2018,39663,False,False
DMA Labs,2021-01-01,https://dmalabs.io,"Raleigh, North Carolina, United States","Information Technology, Media and Entertainment, Other, Software","Advice, Software, Technical Support",1455449.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,61936,False,False
Rebel Bod,2018-01-01,https://rebelbod.com,"Stirling, New Jersey, United States","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","E-Commerce, Fashion, Jewelry, Retail",1077590.0,"Rebel Bod operates as an online body jewelry company. They offer a wide range of products including earrings, nose rings, belly button rings, plugs, tunnels, tapers, dermals, cartilage earrings, tragus, daith, helix, rook, conch, and lip rings. The company is committed to providing quality body jewelry to its customers.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,53377,False,False
ReUp Living,2021-01-01,https://www.reupliving.com/,"Austin, Texas, United States","Financial Services, Real Estate","Financial Services, Real Estate, Real Estate Investment",260966.0,ReUp helps homeowners sell their homes for more by fronting the renovation costs and managing all renovations. ReUp is a tech real estate startup changing the game by providing fully financed renovation services that allow homeowners to flip their homes to sell them for the highest price possible. It was founded in 2021.,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2021,26466,False,False
Wolfpack Worldwide,2018-01-01,http://www.wolfpackwine.com/,"Rumson, New Jersey, United States","Food and Beverage, Manufacturing","Brewing, Manufacturing, Wine And Spirits",170666.0,"Wolfpack Worldwide specializes in the manufacturing, distribution, and selling of wine and spirits. It provides a web-based platform that is currently in a stealth mode. The company was founded in 2018 and headquartered in Rumson, New Jersey.",1-10,1.0,Seed,2019-03-01,775000.0,Seed,775000.0,1.0,1-10,Private,,,,,,0,2018,19921,False,False
virevol ai,2018-02-16,https://virevol.com,"New York, New York, United States","Clothing and Apparel, Commerce and Shopping, Design, Hardware, Software","E-Commerce, Fashion, Retail Technology, SaaS",724941.0,Automating Fashion,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,45208,False,False
Outer Aisle Gourmet,2019-01-01,https://www.outeraislegourmet.com/,"Ventura, California, United States","Consumer Goods, Food and Beverage","Consumer Goods, Food and Beverage, Food Processing",421254.0,"Delicious, versatile and convenient PLANTPOWER™ Pizza Crusts & Sandwich Thins made with over 60% fresh cauliflower.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2019,34794,False,False
TruDine,2018-08-01,https://www.trudine.com,"Los Angeles, California, United States","Food and Beverage, Internet Services","Internet, Restaurants",2392840.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,79841,False,False
The Practical Investors,2020-06-12,https://www.thepracticalinvestors.com/,"Cincinnati, Ohio, United States","Financial Services, Lending and Investments","Financial Services, FinTech, Stock Exchanges, Trading Platform",120189.0,"The Practical Investors is a mobile application that provides traders with quick and easy access to verified and rated stock market predictions. Contributors can earn unlimited profits at no cost, risk free with our fully custom monetization model. Access other features such as our price point alert notifications to get notified on selected stocks.  The Practical Investors mobile app is available for free on Apple and Android.",1-10,1.0,Seed,2021-04-10,120000.0,Pre-Seed,120000.0,2.0,1-10,Private,,,,,,0,2020,15496,False,False
Novilla RNG,2020-01-01,https://www.novillarng.com/,"Ypsilanti, Michigan, United States","Agriculture and Farming, Energy, Natural Resources, Sustainability","Agriculture, Oil and Gas, Renewable Energy",461996.0,Novilla RNG is a biogas consulting and dairy renewable natural gas developer.,11-50,,,,,,,,11-50,Private,,,,,,6,2020,36452,False,False
Share My Meals,2020-01-01,https://sharemymeals.org/,"Princeton, New Jersey, United States","Food and Beverage, Other, Social Impact","Food and Beverage, Non Profit",900496.0,Share My Meals collects excess meals from food providers and distributes them to Princeton's food-insecure communities.,11-50,1.0,,2023-01-20,,Grant,,,11-50,Private,,,,,,3,2020,49897,False,False
Ordo,2020-09-01,http://www.ordohere.com,"Los Angeles, California, United States","Commerce and Shopping, Information Technology, Sales and Marketing, Software","CRM, Software, Wholesale",314848.0,"Ordo is a wholesale management platform that helps cannabis brands launch, scale, and grow. A CRM built for the needs of cannabis sales teams. With an emphasis on simplicity, we give reps tools that actually help in performing the unique job functions found in the cannabis wholesale sector. Founded in 2020 and headquartered in Los Angeles, California.",1-10,2.0,Seed,2021-09-30,,Pre-Seed,,,1-10,Private,,,,,,2,2020,29596,False,False
Empowered Buildings,2020-01-01,https://empoweredbuildings.com,"New York, New York, United States","Energy, Information Technology, Real Estate, Sustainability","Energy Efficiency, Information Technology, Smart Building",278638.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,27498,False,False
Jib,2021-01-01,https://heyjib.ai/,"Buffalo, New York, United States","Advertising, Internet Services, Media and Entertainment, Professional Services, Sales and Marketing","Advertising, Consulting, Social Media",638289.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2021,42658,False,False
mark oliver,2021-02-05,https://www.wootech.io/,"New York, New York, United States",Software,Software,2678106.0,"WooTech has been leading the design and development industry for more than a decade. With thousands of satisfied clients, it has marked its digital footprint in all major industries. It understands the complexity and criticality of the task, so it has a team of industry-experienced designers and developers to deliver the best. WooTech provides website design, eCommerce development, logo design, branding, and marketing services to its prospective and existing customers. It offers affordable packages for a range of individual services. Not only that, you can get a bundle deal if you pick more than one service at once.",51-100,,,,,,,,51-100,Private,,,,,,6,2021,84751,False,False
Everest Detection,2018-01-01,https://everestdetection.com,"Miami, Florida, United States","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering","Biotechnology, Clinical Trials, Health Care, Medical, Product Research",262388.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,26546,False,False
FERN Impact Partners,2018-01-01,https://www.fernimpact.com,"New York, New York, United States","Financial Services, Lending and Investments","Finance, Financial Services, Impact Investing",645766.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,42893,False,False
Interai,2018-10-01,https://www.inter.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software",213135.0,"Interai’s Customer Relationship Intelligence is the #1 no-code platform for CRM and Helpdesk, enabling sales and service organizations to turn customer data into revenue opportunities, to personalize and perfect every interaction and to boost loyalty & LTV at scale, without relying on engineering.",11-50,,,,,,,2.0,11-50,Private,,,,,,6,2018,23122,False,False
Fize,2020-01-01,https://www.getfize.com/,"Chicago, Illinois, United States","Financial Services, Information Technology, Other, Software","Commercial, Information Technology, Insurance, Software",199824.0,,1-10,1.0,,2023-03-07,,Convertible Note,,2.0,1-10,Private,,,,,,3,2020,22100,False,False
Wysent,2018-01-01,https://www.wysent.com/,"Dripping Springs, Texas, United States","Data and Analytics, Media and Entertainment, Software","Advice, Business Intelligence, Enterprise Resource Planning (ERP)",2106713.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,73199,False,False
Nirrin Technologies,2018-01-01,https://nirrinanalytics.com,"Billerica, Massachusetts, United States","Biotechnology, Hardware, Health Care, Manufacturing, Science and Engineering","Biopharma, Biotechnology, Manufacturing, Sensor",63339.0,"NIRRIN Analytics is a biotechnology company that develops real-time non-destructive bioprocess monitoring systems. It delivers improved process control, faster process development, and adaptive manufacturing for the biopharma and life science industries.",1-10,1.0,,2021-10-19,8500000.0,Venture - Series Unknown,8500000.0,1.0,1-10,Private,,,11.0,0.0,Testing,1,2018,8619,False,False
Jethro Mobile,2018-01-01,https://jethromobile.com,"Bellingham, Washington, United States","Commerce and Shopping, Mobile","E-Commerce, Mobile, Retail, Shopping",579656.0,"Jethro Mobile offers a range of affordable cell phone plans, starting from as low as $5 per month. The company provides unlimited talk and text plans, ensuring customers can communicate freely without worrying about overages. Jethro Mobile also offers high-speed nationwide 5G/4G LTE cell phone service, leveraging T-Mobile's network for coverage. In addition to its own devices, Jethro Mobile supports bring-your-own-device (BYOD) options, provided the device is unlocked and compatible. The company's services are backed by a reliable network, ensuring consistent and dependable connectivity for its customers.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,40742,False,False
Argentum Re,2018-01-01,https://argentumre.com,"Miami, Florida, United States","Financial Services, Professional Services","Financial Services, Insurance, Risk Management",647030.0,,1-10,,,,,,,,1-10,Private,,,0.0,2.0,,6,2018,42938,False,False
Noni Educational Solutions,2020-01-01,https://nonieducationalsolutions.com/,"Delray Beach, Florida, United States","Education, Software","EdTech, Education",1375081.0,"Noni Educational Solutions is an education technology start-up that is developing support and resources for teachers and caregivers who have children in their classrooms who have been impacted by adverse childhood experiences. the mission is to support teachers across the country in providing trauma-informed, relationship-based, responsive care to young children.",1-10,,M&A,,,,,,1-10,Private,,,,,,5,2020,60373,False,False
Alchemy-rx,2019-01-01,https://alchemy-rx.com,"New York, New York, United States","Advertising, Commerce and Shopping, Professional Services, Sales and Marketing","Advertising, Consulting, E-Commerce, Marketing",1207070.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2019,56135,False,False
Oucht,2019-04-01,https://oucht.com,"New York, New York, United States","Media and Entertainment, Professional Services","Digital Media, Intellectual Property",1764311.0,"Oucht creates and distributes high-quality digital media that informs, entertains, and inspires people around the world.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,68288,False,False
Myst AI,2018-01-01,https://www.myst.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Energy, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Energy, Information Technology",97413.0,"Myst AI is a developer of the AI-based data analysis platform intended for electricity demand and supply forecasting. The company uses AI to help energy companies better predict the future, resulting in lower costs, reduced risk, and less waste.",11-50,2.0,M&A,2020-09-03,6000000.0,Series A,8000000.0,2.0,11-50,Private,,,0.0,0.0,,0,2018,12986,False,False
Altascio Technologies,2021-01-01,https://altascio.com,"Dallas, Texas, United States","Hardware, Information Technology, Internet Services, Science and Engineering, Software","Cloud Infrastructure, Information Technology, Open Source, Software Engineering",947763.0,"Altascio Technologies is a platform engineering and software services company. It offers a platform with extensive features to help businesses become resilient and optimize their modernization initiatives. The company caters to both enterprises with comprehensive and complex tech-stacks and startups with disruptive ideas. Altascio's engineering teams build solutions tailored to the needs of their clients. They also provide automation technology that allows businesses to follow and integrate human processes. Additionally, Altascio Technologies is involved in the development of advanced technologies such as AI and Machine Learning.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2021,51045,False,False
Left Brain Investment Research,2019-01-01,https://leftbrainir.com/,"Naperville, Illinois, United States","Data and Analytics, Design, Financial Services, Media and Entertainment, Professional Services","Advice, Consulting, Financial Services, Market Research, Wealth Management",2211095.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,75513,False,False
Ideatives,2023-09-27,https://ideatives.com,"Cheyenne, Wyoming, United States","Information Technology, Software","Developer Tools, DevOps, SaaS",624667.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2023,42208,False,False
Bitcoin Energy,2018-01-01,https://bitcoinenergy.com/,"Scottsdale, Arizona, United States","Blockchain and Cryptocurrency, Energy, Financial Services, Health Care, Payments, Software, Sports","Bitcoin, Energy, Fitness, Health Care",1370412.0,"Bitcoin Energy is the ultimate health energy drink made for the hustlers, grinders, and entrepreneurs. Their formula is a blend of 12 essential vitamins, plant-sourced minerals, mangosteen superfruit, organic glyconutrient-rich aloe vera and green tea in every serving.",1-10,,,,,,,,1-10,Private,,,0.0,1.0,,6,2018,60468,False,False
Know Technologies Inc.,2020-05-30,https://www.goknow.me,"Austin, Texas, United States",Software,Software,1308936.0,Know Technologies provides software for over the top (OTT) checkout and payment solution.  Both credit card and BNPL with lending are supported and promoted methods.,1-10,,,,,,,2.0,1-10,Private,,,,,,6,2020,58432,False,False
One Tap Inc.,2022-07-01,https://www.onetap.team/,"Ventura, California, United States","Media and Entertainment, Professional Services, Software","Business Development, Consulting, Content Creators, Software",101106.0,"One Tap Inc. is a trailblazing company at the forefront of the creator economy, offering a comprehensive suite of innovative business tools tailored for creators, managers, and agencies. With a firm commitment to simplifying and streamlining the intricate process of setting up, expanding, and maintaining business structures, One Tap Inc. empowers its clients to maximize their potential, ensure compliance, and thrive in the dynamic landscape of the digital world. Our integrated platform equips content creators with the essential resources and strategic insights needed to transform their passion into a successful and sustainable business venture. Whether you're an individual content creator or an agency managing a portfolio of talent, One Tap Inc. is your trusted partner in achieving long-term growth, financial security, and legal peace of mind.",1-10,1.0,Seed,2023-04-01,50000.0,Pre-Seed,50000.0,1.0,1-10,Private,,,,,,0,2022,13422,False,False
Computelify Inc,2022-09-11,https://computelify.com,"Scottsdale, Arizona, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Developer Tools, Natural Language Processing, Open Source",877002.0,We build and operate a machine learning cloud platform.,1-10,1.0,,2023-01-10,,Grant,,3.0,1-10,Private,,,0.0,0.0,,3,2022,49299,False,False
xResearch,2018-01-01,https://www.xresearch.biz,"New York, New York, United States","Data and Analytics, Design, Professional Services","Consulting, Market Research",1539199.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,63424,False,False
AccelPeople,2020-01-01,https://accelpeople.com,"Los Angeles, California, United States","Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1827540.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,68672,False,False
Brainworks,2018-10-01,http://brainworks.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Software",391003.0,"Brainworks builds trustworthy intelligent machines, and applies them to solve complex global challenges. The company leverages the latest pioneering discoveries in neuroscience to build more complete, whole-brain AI systems that society can trust with life-or-death decisions.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,33454,False,False
Notch Health,2020-01-01,https://notch.health,"Seattle, Washington, United States","Data and Analytics, Health Care","Health Care, Personal Health, Test and Measurement",1357767.0,"Notch Health offers testing for food intolerances and sensitivities, seasonal and environmental irritants, vitamin deficiencies, and COVID-19. They also provide services such as food allergy and sensitivity testing, hormone testing, lab testing, and preventative medicine.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,59102,False,False
ShopHire,2020-01-01,https://www.shophire.co,"Chicago, Illinois, United States","Information Technology, Professional Services, Software","Information Technology, Recruiting, Software",2478737.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,81634,False,False
TempusOne AI,2023-01-01,https://www.tempusone.ai,"Alpharetta, Georgia, United States","Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Advertising, Artificial Intelligence (AI), Marketing",2073113.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2023,73722,False,False
Vallit,2018-01-01,https://www.vallitadvisors.com,"Lutherville Timonium, Maryland, United States","Financial Services, Professional Services","Accounting, Legal, Management Consulting",750645.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,45889,False,False
Ephesus Solutions,2020-01-01,http://ephesussolutions.site,"Dickson, Tennessee, United States","Administrative Services, Professional Services","Human Resources, Recruiting, Staffing Agency",1580887.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,64184,False,False
lowercase.digital,2020-04-01,http://lowercase.digital,"New York, New York, United States","Internet Services, Media and Entertainment, Software","Social Media, Software",156099.0,"Our first app, HAGS: Yearbook Signatures, let let tens of thousands of students sign their yearbooks through Snapchat. HAGS will be relaunching as an entirely new space for high school students to interact with their class.  Based in New York.",1-10,1.0,Seed,2020-09-28,1000000.0,Pre-Seed,1000000.0,3.0,1-10,Private,,,,,,0,2020,18765,False,False
dodo.,2022-05-01,https://mydodo.world,"Berkeley, California, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Social Media, Social Network",231747.0,,1-10,1.0,Seed,2022-10-20,,Pre-Seed,,,1-10,Private,,,,,,2,2022,24543,False,False
Kinetic Care Group,2020-01-01,https://kineticcaregroup.com/,"Los Angeles, California, United States",Health Care,Health Care,2291548.0,"Their mission is to offer the most effective and comprehensive evidence based physical therapy services in the US, and to inspire people. Their dynamic organization is grounded in values of integrity, transparency, results, innovation and research.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,78376,False,False
Alaya Tea,2019-01-01,https://alayatea.co,"Los Angeles, California, United States","Commerce and Shopping, Food and Beverage, Manufacturing","E-Commerce, Food and Beverage, Manufacturing, Tea",974888.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,51732,False,False
RockitSeller,2019-01-01,https://rockitseller.com/,"Lawrenceville, Georgia, United States","Media and Entertainment, Sales and Marketing, Software","Digital Marketing, Digital Media, Software",980200.0,Rockitsell team takes care of the busy work so we can focus on what we do best - growing your business. They provide smart sales tools powered by our learning algorithms to help Rockit boost your sales.They build exemplary digital tools for savvy Amazon sellers to boost their profitability and rockit fuel their sales.,11-50,,,,,,,,11-50,Private,,,,,,6,2019,51858,False,False
Octavia Wealth Advisors,2020-01-01,https://octaviawa.com/,"Cincinnati, Ohio, United States","Financial Services, Media and Entertainment","Advice, Financial Services, Wealth Management",996847.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,52295,False,False
AIArtists.org,2019-01-01,https://aiartists.org,"Brooklyn, New York, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software","Art, Artificial Intelligence (AI), Machine Learning",520606.0,"AIArtists.org curates historic works by pioneers in Artificial Intelligence art. Explore our community of AI artists and the critical questions they’re investigating, discover AI art tools to use in your creative practice, learn about AI Art history, or explore ethical issues in AI.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,38702,False,False
Delta Energy Distribution,2018-01-01,https://www.deltaenergydistribution.com/,"Natchitoches, Louisiana, United States","Energy, Manufacturing, Natural Resources, Science and Engineering","Chemical, Manufacturing, Oil and Gas",1066321.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,53110,False,False
Altais,2019-01-01,https://altais.com/,"San Francisco, California, United States",Health Care,"Health Care, Medical Device",191387.0,"Altais is a healthcare services company that helps physicians and the clinical community maximize the health and well-being of their patients in a way that is sustainably affordable and maintains professional gratification. Altais seeks to enhance the vibrancy of physician practice and strengthen the heart of medicine – connecting with patients and providing personalized, high-quality care.",101-250,,,,,,,,101-250,Private,,,0.0,2.0,,6,2019,21475,False,False
Freedom Venture Investments,2019-01-01,https://www.freedomventure.com/,"Danvers, Massachusetts, United States","Commerce and Shopping, Financial Services, Other, Real Estate","Commercial, Finance, Financial Services, Real Estate Investment, Rental",593474.0,"Freedom Venture Investments is a boutique private equity real estate firm. Its strength lies in the founder's unique backgrounds, resulting in an entrepreneurial and institutional investment strategy. They have partnered to capitalize on opportunities along Florida's Gulf Coast and other key markets throughout the Sunbelt region.  They provide private real estate investments for institutions, family offices, and high-net-worth individuals.",11-50,,,,,,,,11-50,Private,,,,,,6,2019,41197,False,False
Wise Rock,2018-01-01,https://wiserocksoftware.com/,"Texas, South Carolina, United States","Science and Engineering, Software","Mechanical Engineering, Software, Software Engineering",326700.0,,11-50,1.0,Seed,2021-01-01,,Seed,,,11-50,Private,,,,,,2,2018,30240,False,False
AOKO SU,2020-11-27,https://aokosu.com,"Hudson, New York, United States","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","E-Commerce, Fashion, Jewelry",1980580.0,AOKO SU is a jewelry store. They provide diamond jewelry for their customers. The customer queries are addressed through online forms and email.,11-50,,,,,,,,11-50,Private,,,,,,6,2020,72192,False,False
Emerald Media House,2019-01-01,https://www.emeraldmediahouse.com,"Orange, California, United States","Design, Hardware, Media and Entertainment, Sales and Marketing, Software, Video","3D Technology, Content, Graphic Design, Marketing, Video",2488445.0,"Emerald Media House is a media production company. Their services include video, video production, photo, photography, videography, filming, editing, video editing, social media, marketing, real estate, 3D, drones, virtual reality, aerial photography, and graphic design.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2019,81478,False,False
Lotus Led Lights,2018-01-01,https://www.lotusledlights.com,"Blaine, Washington, United States","Consumer Electronics, Hardware, Manufacturing","Electronics, Lighting, Manufacturing",825679.0,,101-250,,,,,,,,101-250,Private,,,,,,6,2018,47949,False,False
SparkLabs Cyber+Blockchain,2018-01-01,http://www.sparklabscyber.com/,"Washington, District of Columbia, United States","Financial Services, Information Technology","Financial Services, Information Technology",2183255.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,75980,False,False
Kaapi,2020-01-01,https://www.kaapi.team/,"Middletown, Delaware, United States",Administrative Services,Human Resources,668941.0,"Use Kaapi to boost team morale, have fun together and run standup meetings. All while working remotely.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2020,43566,False,False
VeoShop,2022-07-20,https://www.blocklite.org,"New York, New York, United States","Apps, Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Internet Services, Media and Entertainment, Mobile, Payments, Software, Video","Apps, Cryptocurrency, FinTech, Marketplace, Media and Entertainment, Mobile Apps, Payments, Social Media, Software, TV Production",617184.0,"VeoShop, LLC is the US entity for Americans to invest into Dominican Republic's Desetech Systems, SRL, its wholly owned subsidiary. VeoShop, LLC was formed in the state of New York, USA in July of 2022. Desetech Systems, SRL is its main subsidiary, the company owns the marketplace VeoShop, its mobile app, its website and its domains comprar.do and vender.do (spanish for buy.do and sell.do), the source code to the Blocklite Blockchain and its WooCommerce, Dokan plugins, its X-Wallet, its bridge to traditional blockchains, the, pago.do (spanish for Payment.do), fintech.com.do, the VeoStream app code and its Intellectual Property including 4 feature films, various tv shows, the website veo.do etc.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2022,41974,False,False
