company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
ADZIV,2019-05-05,https://www.adziv.com/,"Miami, Florida, United States","Advertising, Commerce and Shopping, Design, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, E-Commerce, Internet, Marketing, Social Media, Web Design, Web Development",742514.0,"ADZIV is a full-service Shopify agency, backed by a team of experienced Shopify developers, growth marketers, SEO experts, and UI/UX designers. We have worked with over 350 merchants across all niches and delivered exceptional CRO and performance marketing results.",51-100,0.0,,,0.0,,0.0,1.0,51-100,Private,,,,,,6,4,2019,45676,False,False
CoolCities,2018-05-01,http://coolcities.com,"New York, New York, United States","Apps, Mobile, Software",Mobile Apps,2164746.0,"CoolCities will become the most commonly used travel app by offering to influencers unique content, monetization pathways and tracking tools. CoolCities’ unique blend of features has proven to create an engaging, “sticky” app for the user and an excellent marketing platform for the influencer and the advertiser.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,75455,False,False
"Kavi Virtual, Inc.",2021-01-01,https://holakavi.com/,"San Francisco, California, United States",Information Technology,Information Technology,116438.0,"Kavi Virtual is a software development company for education. They provide services that include a library of content, live classes, ebooks, subscriptions, and community.",1-10,1.0,Seed,2021-11-01,280000.0,Pre-Seed,280000.0,2.0,1-10,Private,,,0.0,1.0,,0,3,2021,15101,False,False
SavvyCal,2020-01-01,https://savvycal.com/,"Minneapolis, Minnesota, United States",Software,Software,215247.0,"Finally, a scheduling tool both the sender and the recipient will love",1-10,1.0,Seed,2019-05-17,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,,,,2,4,2020,23289,False,False
"Idaho Notary Signing Agent, LLC",2018-10-01,https://www.idahonotarysigningagent.com/,"Meridian, Idaho, United States",Professional Services,Legal,2476506.0,"Notary Public Signing Services From purchase loans to reverse mortgages and wills and power of attorney documents and everything in between, a notary public is a necessity when you are signing important papers. I offer remote online notary, and mobile services for any documents you need notarized and when you hire me, you can trust that you will be working with a professional notary who is prompt and efficient. We will make the process of notarizing documents as easy and as quick as possible for everyone involved.  Examples of documents that may need notary services are: Real Estate: Purchase, Seller, Construction, and Refinance Personal Estate: Wills, Power of Attorney, and Trust  Court & Other Documents: Affidavits, Duplicate Marriage & Birth Certificate requests Apostille Services for Hauge Convention compliant countries.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,81671,False,False
Virtual Jeannie Bookkeeping,2021-01-01,https://virtualjeannie.com,"Santa Rosa, California, United States","Financial Services, Professional Services","Bookkeeping and Payroll, Consulting, Financial Services",2321069.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,79473,False,False
Mudra Capital,2022-01-01,https://www.mudra.capital,"Raleigh, North Carolina, United States","Financial Services, Lending and Investments","Asset Management, Finance, Venture Capital",559186.0,Mudra Capital is an asset management firm. They provide investment products to individual and institutional investors for digital assets.,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,2,2022,40024,False,False
501 Data Solutions,2019-01-01,https://www.501datasolutions.com,"Tampa, Florida, United States","Data and Analytics, Information Technology, Other, Professional Services, Software","CMS, Consulting, Database, Technical Support",1418664.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,61071,False,False
Demeine Estates,2020-01-01,https://demeineestates.com,"St. Helena, California, United States","Commerce and Shopping, Food and Beverage, Transportation","Supply Chain Management, Wholesale, Wine And Spirits",630891.0,"Demeine Estates provides products from a winery. It provides distribution, sales, and marketing services for exquisite wines. They assist usher in a new generation by fusing the enchanted past of each estate with the recent concepts, original solutions, and sales tools.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,0.0,2.0,,6,4,2020,42420,False,False
Maker Portal,2019-04-01,https://makersportal.com/,"San Francisco, California, United States","Consumer Electronics, Hardware, Professional Services, Software","Consulting, Electronics, Software",617906.0,"Maker Portal is intended for innovators interested in real-world solutions to complex problems in science, engineering, and technology. Resources include: engineering consulting services, physical products, mobile applications, software development, e-learning, and blog-style articles. The maker-based approach is explored using articles, technical publications, and experiments in topics ranging from Raspberry Pi, heat transfer, fluid dynamics, data analysis, robotics, Arduino, 3D printing, sensor design, Python programming, and more. Open-source software is at the core of our services and projects, which allows for replication of experiments and designs. Services and articles can also include software and hardware design, upon request. Our mission is to develop and implement applications in engineering through rapid prototyping at the intermediate level, without the requirement of colossal resources.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,41999,False,False
Edith Labs,2020-01-01,https://edithlabs.com/,"Cupertino, California, United States","Community and Lifestyle, Education, Other, Social Impact","Social Entrepreneurship, Social Impact, Training",161199.0,Edith Labs focuses on helping students build long-term relationships with mentors through income share agreements.,1-10,1.0,Seed,2021-01-25,120000.0,Pre-Seed,120000.0,2.0,1-10,Private,,,,,,0,4,2020,19188,False,False
Leaf Home,2019-01-01,https://www.leafhome.com/,"Hudson, Ohio, United States",Consumer Goods,Consumer Goods,134829.0,"Leaf Home is a trusted partner in providing homeowners and their families safety, enjoyment, convenience, and peace of mind through innovative, professionally installed solutions that protect the condition and grow the value of their homes.",1001-5000,0.0,,,0.0,,0.0,1.0,1001-5000,Private,,,0.0,1.0,,6,5,2019,16983,False,False
INDAGARI,2022-01-01,https://www.indagari.com,"Menlo Park, California, United States","Data and Analytics, Hardware, Information Technology, Other, Software","Analytics, Data Center, Data Integration, Infrastructure, IT Infrastructure",414342.0,"Indagari analyzes consumer transaction data to acquire meaningful insights on corporate performance and the competitive landscape. The company analyses of customer retention, market share, and the customer journey provide actionable insights into companies and competitors.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,0.0,0.0,,6,2,2022,34488,False,False
User Hero,2020-07-01,https://userhero.io,"San Francisco, California, United States","Data and Analytics, Design, Software","Analytics, Product Research, Software",186449.0,"User Hero is a software platform that allows UX researchers and Product Managers organize all of their qualitative information. As a repository, we allow you to run reports and analytics on your qualitative data to extract insights, highlight trends, and track features related to user feedback.",1-10,1.0,Seed,2018-05-01,120000.0,Seed,120000.0,2.0,1-10,Private,,,,,,0,3,2020,21103,False,False
Catlog,2021-11-03,https://catlog.shop,"Wilmington, Delaware, United States",Commerce and Shopping,E-Commerce,234386.0,"Catlog is a commerce platform for social media. They build social-commerce platforms for improving the efficiency of social media transactions between buyers and merchants. They allow businesses to take orders via chat, manage orders and customers, collect payments easily, and deliver items without hassle.",1-10,1.0,Seed,2022-04-27,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,,,,2,2,2021,24743,False,False
ZettaBlock,2022-01-01,https://www.zettablock.com,"Fremont, California, United States","Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Internet Services, Software","Analytics, Information Technology, Software, Web3",129244.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,2,2022,16435,False,False
ProcrastiNote,2020-01-01,https://procrastinote.carrd.co,"Remote, Oregon, United States","Education, Other, Social Impact, Software","E-Learning, Education, Non Profit",3179685.0,"ProcrastiNote provides free notes, resources, and networking opportunities for high school classes as part of its services to benefit students. By offering free notes, materials, and networking possibilities for high school classes, this website helps students.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,90971,False,False
Laetro,2020-01-01,http://www.laetro.com,"Chatsworth, California, United States","Advertising, Design, Hardware, Media and Entertainment, Sales and Marketing, Software, Video","3D Technology, Advertising, Animation, Graphic Design, Web Design",203724.0,"Laetro services include logos, videos, brand development, 3d animation, web design, 2d animation, infographics, UX design, copywriting, product design, illustration, and sales deck.",11-50,1.0,Seed,2022-12-15,0.0,Seed,0.0,,11-50,Private,,,,,,2,4,2020,22402,False,False
Michael Segal Photography,2021-01-01,https://michaelsegalphotography.com,"Santa Monica, California, United States","Community and Lifestyle, Content and Publishing, Events, Media and Entertainment","Photography, Wedding",1107437.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,54111,False,False
Industrility,2018-09-11,http://www.industrility.com,"Bellevue, Washington, United States","Internet Services, Manufacturing","Industrial, Internet of Things",268745.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2018,26940,False,False
IDStrong,2019-02-03,https://www.idstrong.com/,"Boston, Massachusetts, United States","Commerce and Shopping, Software","E-Commerce, Software",576560.0,"We will monitor credit bureaus, black-market websites, chat rooms, social feeds, public records and millions of data points & detect if your personal & financial information is found being bought, sold, or traded online.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,40652,False,False
GIR Software Services,2019-01-01,https://www.girsoftwareservices.com,"Houston, Texas, United States","Information Technology, Software","Information Technology, Software",906242.0,"GIR Software Services provides software solutions around e-commerce and ERP and maintain it by rendering exceptional quality of services, thereby helping customers focus on their business and growth. GIR’s Oracle NetSuite Commerce Partnership, which includes the strategic planning, design, and implementation of Oracle NetSuite, SuiteCommerce Advanced, and SuiteSuccess. It provides the expertise, experience, and support needed to achieve E-commerce business goals.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,0.0,0.0,,6,5,2019,50025,False,False
RLM Travel Lux Agency,2020-01-01,https://www.rlmtravellux.com,"Los Angeles, California, United States","Commerce and Shopping, Travel and Tourism","Rental, Travel, Travel Agency",1909832.0,"RLM Travel Lux Agency provides trip design, fly private, and car rental services. They provide yacht charters, beauty concierge, and executive stay services. They provide trip registration, travel, and marine charter services. They provide images, video, and editorial content.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,70171,False,False
TARA,2019-01-01,https://www.tarateachers.com,"Atlanta, Georgia, United States","Information Technology, Media and Entertainment, Other","Content, Information Technology, Service Industry",131276.0,TARA is a SaaS assistant platform for teacher development. It offers services to support individual teachers. They track growth with auto-generated graphs.,1-10,1.0,Seed,2023-01-10,120000.0,Pre-Seed,120000.0,,1-10,Private,,,,,,0,5,2019,16625,False,False
JADOL Group,2021-01-01,https://jadolgroup.com/,"Huntington Beach, California, United States","Administrative Services, Energy, Health Care, Real Estate","Construction, Electrical Distribution, Health Care, Staffing Agency",3140286.0,,251-500,0.0,,,0.0,,0.0,,251-500,Private,,,,,,6,3,2021,90117,False,False
Altrunic,2021-07-10,https://www.altrunic.com,"Warminster, Pennsylvania, United States",Software,Software,162542.0,we enable companies to run philanthropy campaigns with highly rated charities. Our main goal is to help companies engage employees and customers; and also measure the social impact made. Our clients are able to establish themselves as responsible and empathetic companies in the eyes of their customers and employees. This is made possible through a publicly available impact website that our product helps create. We are on a mission to democratize corporate giving. Our pricing is very affordable so that more and more companies can start giving back to the society. We believe that you can make a difference!,11-50,1.0,Seed,2022-01-06,250000.0,Seed,250000.0,2.0,11-50,Private,,,,,,0,2,2021,19278,False,False
Edge,2020-01-01,https://www.edgeonline.co/,"Sacramento, California, United States","Financial Services, Other, Professional Services","Consulting, Insurance, Outsourcing, Professional Services",471284.0,,251-500,0.0,,,0.0,,0.0,1.0,251-500,Private,,,,,,6,4,2020,36822,False,False
Lantz Financial Team,2019-01-01,https://www.lantzteam.com/,"Naperville, Illinois, United States","Community and Lifestyle, Financial Services, Other, Professional Services","Financial Services, Insurance, Retirement, Risk Management",3023616.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,88820,False,False
Cymar Computer,2020-01-01,https://www.cymarcomputer.co.uk/,"Greenwich, Connecticut, United States","Consumer Electronics, Hardware, Information Technology","Computer, IT Management",3035277.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,90017,False,False
MAX Mobile Pro,2019-01-01,https://www.maxmobilepro.com,"Tampa, Florida, United States","Apps, Information Technology, Mobile, Software","Enterprise Software, Information Technology, Mobile Apps",795059.0,"MAX Mobile Pro is a mobile app development company that creates business apps, celebrity profile apps, and entertainment apps. Their tools include live celebrity podcasts, video recordings, custom graphic design, mobile apps, web design, photography, professional voice-overs, and radio commercials.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,47121,False,False
Saothair Capital Partners,2019-01-01,https://www.saothair.com,"Radnor, Pennsylvania, United States","Financial Services, Lending and Investments, Other","Financial Services, Impact Investing, Small and Medium Businesses",451403.0,Saothair Capital Partners is a private equity investment firm that focuses on lower-middle market industrial and manufacturing businesses.,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,5,2019,36053,False,False
Verde,2019-01-01,https://www.verdecleanservices.com,"Phoenix, Arizona, United States","Other, Real Estate, Sustainability","CleanTech, Commercial, Facility Management, Janitorial Service",985247.0,"Verde specializes in eco-friendly cleaning products and processes that support improved indoor air quality and a healthier planet. They provide commercial cleaning, LEED support, detailed floor care, project cleaning, and exterior services.",101-250,0.0,,,0.0,,0.0,,101-250,Private,,,,,,6,5,2019,51988,False,False
Dive,2019-01-01,https://www.dive.games/,"New York, New York, United States","Content and Publishing, Data and Analytics, Gaming, Information Technology, Media and Entertainment, Video","Analytics, Big Data, Business Intelligence, Casual Games, Gaming, Information Technology, Online Games, PC Games, Video Games, Video Streaming",460250.0,"Dive is a full BI solution for game studios and publishers. We collect, validate and visualize gameplay and marketing data. Anything from game economy to ROAS - our solution is custom per studio. We also offer a powerful, calendar-based LiveOps tool. Dive was founded Elad Levy, a game industry veteran, who co-founded Pacific Interactive which wassold to Playtika. Dive’s solution runs on a wide variety of platforms and technologies including mobile, web 3, Roblox, NFT & Blockchain.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,36381,False,False
Nueces County Development Commission,2019-01-01,https://www.ncdctexas.com,"Corpus Christi, Texas, United States","Community and Lifestyle, Government and Military, Other, Social Impact","Communities, Government, Non Profit",2354174.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,78970,False,False
The Cognity,2022-07-01,https://thecognity.com/,"Wilmington, Delaware, United States","Apps, Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Neuroscience, Personal Health, Psychology, Software, Web Apps",330242.0,"The Cognity - an application for learning social skills and emotional intelligence through AI, developed with the help of leading psychologists and neuroscientists. Users can train without pressure from their peers while getting constant feedback on how they performed. It is cheap, reliable, and backed by science. The platform offers theory and interactive exercises grouped into full-fledged courses.",1-10,1.0,Seed,2023-02-22,0.0,Seed,0.0,3.0,1-10,Private,,,,,,2,1,2022,30434,False,False
Path Light Pro,2020-01-01,https://www.pathlightpro.com,"Winter Springs, Florida, United States","Energy, Manufacturing, Professional Services","Energy, Environmental Consulting, Industrial, Quality Assurance",422614.0,"Path Light Pro is an environmental services company that provides guidance, solutions, and support in the areas of environmental work, safety, and energy solutions. Path Light Pro offers stormwater inspection services, energy and quality assurance inspection and related services, compliance and SWPPP (Stormwater Pollution Prevention Plan) consulting, and safety audit work.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,0.0,0.0,,6,4,2020,34864,False,False
Cytoscient,2019-01-01,https://cytoscient.com,"Berkeley, California, United States","Biotechnology, Health Care, Professional Services, Science and Engineering","Biotechnology, Consulting, Pharmaceutical",745222.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,45754,False,False
EXERO Well Integrity,2019-01-01,https://www.exerousa.com,"Denver, Colorado, United States","Energy, Natural Resources, Real Estate","Construction, Energy, Oil and Gas",458384.0,"EXERO Well Integrity is an oilfield services company that offers oilfield cementing and well integrity services to protect aquifers. The company was founded in 2019 and is headquartered in Denver, Colorado.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,36303,False,False
Silver Fern Group,2020-02-05,https://silverfern.group,"Lexington, Kentucky, United States","Agriculture and Farming, Data and Analytics, Information Technology, Internet Services, Software","Agriculture, AgTech, Analytics, Farming, Information Technology, Internet, Software",297519.0,"Silver Fern Group is a technology company providing software, data analytics, and custom solutions for the horticulture industry.",1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,,,,6,4,2020,28599,False,False
Swiss Avenue Funding,2020-01-01,https://www.swissavenue.com,"Dallas, Texas, United States","Financial Services, Lending and Investments","Financial Services, Funding Platform, Lending",1361809.0,"Swiss Avenue Funding is a financial intermediary and direct lender that primarily focuses on real estate investment. The company offers a variety of loan options for real estate developers and investors. These loan solutions are designed to meet the diverse needs of their clients, providing them with the financial resources they need to successfully carry out their real estate projects. The company's commercial and direct lending platforms are instrumental in facilitating these services.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,59000,False,False
Birwood,2020-01-01,https://birwoodsg.com,"Detroit, Michigan, United States","Other, Professional Services","Consulting, Professional Services, Risk Management",2514348.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,81096,False,False
L'Dor V'Dor Foundation,2021-01-01,https://ldvdf.org/,"Wabasso, Florida, United States","Community and Lifestyle, Government and Military, Other, Social Impact","Charity, Communities, Social Assistance",3090561.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,90656,False,False
Gambitplan,2019-01-01,https://www.gambitplan.com,"San Francisco, California, United States","Education, Professional Services","Consulting, Training",3114957.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,90359,False,False
Incognito for Slack,2021-01-01,https://www.incognitoforslack.com/,"New York, New York, United States","Apps, Internet Services, Software","Apps, Internet, Software",388983.0,Employee feedback Slack app,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,33345,False,False
Iowa Peer Network,2022-01-01,https://iowapeernetwork.org,"Iowa City, Iowa, United States","Health Care, Other, Social Impact","Medical, Non Profit",3048693.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2022,89839,False,False
OnePump Septic Services,2019-01-01,https://www.onepumpsepticservices.com/,"Victoria, Texas, United States",Other,Service Industry,1668856.0,"OnePump Septic Services was established in 2019 as a top-tier septic tank cleaning and pumping company in Calhoun County, TX and Jackson County, TX and our services also reach all the surrounding areas. We are committed to providing the highest levels of customer satisfaction with our comprehensive septic tank services. Our goal is to build long-lasting relationships with our clients by offering unparalleled septic tank pumping operations that prioritize environmental safety and efficiency. When you're in need of a reliable septic service, look no further than OnePump, your local expert. Contact us today for a clean, compliant, and hassle-free service.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,0.0,8.0,,6,5,2019,65560,False,False
LittleNewt,2020-03-28,https://littlenewt.com/,"Austin, Texas, United States",Financial Services,FinTech,129084.0,"LittleNewt is a tax preparation and practice management platform for independent CPA firms that enables real-time integration with their clients’ accounting systems, uses AI and automation to instantly create tax returns, and provides year-round, accurate tax information.",1-10,1.0,Seed,2021-01-28,120000.0,Pre-Seed,120000.0,3.0,1-10,Private,,,,,,0,3,2020,16411,False,False
AI Development Service,2018-10-16,https://aidevelopmentservice.com/,"Wilmington, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",825796.0,"AI development Services is an AI development firm founded by Gurpreet Singh Walia in 2018, located in California City, CA - USA. Having 4+ years of robust artificial intelligence experience, we empower businesses to adopt AI-driven solutions effortlessly. We help organizations enhance customer satisfaction by improving productivity, efficiency, and decision-making capabilities.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,5,2018,47956,False,False
APRA Capital,2019-01-01,https://www.apracapital.com,"Irvine, California, United States","Financial Services, Real Estate","Asset Management, Commercial Real Estate, Finance, Real Estate Investment",796033.0,"APRA Capital takes an innovative approach to value-add investing, with a focus on our investors, residents, and employees. They focus on uncovering untapped value and repositioning assets to maximize cash flow and profit.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,47148,False,False
Allymar Health Solutions,2021-01-01,https://www.allymarhealth.com,"Scottsdale, Arizona, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Health Care",201569.0,"Allymar Health Solutions is an end-to-end technology-enabled Medicare Advantage platform designed for growth-oriented plans and risk-bearing providers. They provide services including AI-powered risk adjustment, AI-powered stars and HEDIS, core administration, and health management. They deliver and guarantee outcomes, including reduced administrative costs, clinical improvement, and risk score accuracy.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,22248,False,False
Risk Protection Associates,2019-01-01,http://riskpai.com,"Deerfield, Illinois, United States","Administrative Services, Privacy and Security, Professional Services","Compliance, Consulting, Physical Security, Risk Management, Security",2341991.0,"Risk Protection Associates is an international consultancy that works with organizations to develop their competitive edge by managing risk from a holistic approach.  RPA identifies the critical risks you face, recommends solutions for reducing your exposure, and creates opportunities for increased safety, security, and bottom line cost savings.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,79153,False,False
HarborGrid,2019-08-27,https://www.harborgrid.com,"Woodbridge, Virginia, United States",Software,SaaS,1481868.0,"HarborGrid partners with public sector agencies to integrate the strategic vision with the operational and technological initiatives necessary to actualize that vision. Our Intelligent Acquisition Service facilitates the standardization of public sector procurement business processes through an automated, adaptive learning platform",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2019,61430,False,False
Alpha Genesis Labs,2021-01-01,https://alphagenesislabs.com,"Richardson, Texas, United States","Data and Analytics, Professional Services, Software","Big Data, Compliance, Software",514888.0,"Alpha Genesis Labs helps schools and educators improve student outcomes and make reporting and compliance easier. Alpha Genesis Labs helps with businesses to tackle management problems that demand creativity, technology, and common sense through business and technology transformation programs.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,38483,False,False
Fair Trade Real Estate,2020-01-01,https://www.fairtraderealestate.com,"Santa Ana, California, United States","Financial Services, Real Estate, Sales and Marketing","Asset Management, Real Estate, Real Estate Investment, Sales",426616.0,"Fair Trade Real Estate offers properties for buy and sell. They offer in foreclosure, short sale, default, and investments.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,4,2020,35040,False,False
